,46,47,48,49,50,51
363,1.0,1.0,0.0,0.0,0.0,0.0
366,1.0,0.7,0.0,0.0,0.0,0.0
367,1.0,0.0,0.0,0.0,0.0,0.0
368,1.0,0.76,0.0,0.0,0.0,0.0
385,1.0,0.0,0.0,0.0,0.0,0.0
390,1.0,1.0,0.62,0.0,0.0,0.0
395,1.0,1.0,1.0,0.3,0.0,0.0
396,1.0,1.0,0.44,0.0,0.0,0.0
399,1.0,0.0,0.0,0.0,0.0,0.0
404,1.0,1.0,1.0,0.68,0.0,0.0
405,1.0,1.0,1.0,1.0,0.0,0.0
406,1.0,0.0,0.0,0.0,0.0,0.0
407,1.0,1.0,0.18,0.0,0.0,0.0
419,1.0,1.0,0.0,0.0,0.0,0.0
435,1.0,1.0,1.0,0.0,0.0,0.0
440,1.0,0.0,0.0,0.0,0.0,0.0
449,1.0,1.0,0.62,0.0,0.0,0.0
450,1.0,1.0,1.0,0.0,0.0,0.0
451,1.0,0.0,0.0,0.0,0.0,0.0
452,1.0,1.0,1.0,0.0,0.0,0.0
453,1.0,1.0,1.0,1.0,0.0,0.0
454,1.0,0.12,0.0,0.0,0.0,0.0
455,1.0,1.0,0.56,0.0,0.0,0.0
456,1.0,0.38,0.0,0.0,0.0,0.0
457,1.0,0.38,0.0,0.0,0.0,0.0
458,1.0,0.0,0.0,0.0,0.0,0.0
459,1.0,1.0,0.0,0.0,0.0,0.0
460,1.0,1.0,0.75,0.0,0.0,0.0
461,0.87,0.0,0.0,0.0,0.0,0.0
462,1.0,1.0,0.0,0.0,0.0,0.0
463,1.0,1.0,1.0,0.0,0.0,0.0
464,1.0,1.0,1.0,0.43,0.0,0.0
465,1.0,1.0,1.0,0.0,0.0,0.0
466,1.0,0.0,0.0,0.0,0.0,0.0
467,1.0,0.0,0.0,0.0,0.0,0.0
468,0.18,0.0,0.0,0.0,0.0,0.0
469,1.0,1.0,0.0,0.0,0.0,0.0
470,1.0,1.0,1.0,0.0,0.0,0.0
471,1.0,1.0,0.0,0.0,0.0,0.0
472,1.0,1.0,1.0,0.74,0.0,0.0
473,1.0,1.0,1.0,1.0,0.0,0.0
474,1.0,1.0,0.0,0.0,0.0,0.0
475,1.0,0.0,0.0,0.0,0.0,0.0
476,1.0,1.0,0.3,0.0,0.0,0.0
477,1.0,1.0,0.0,0.0,0.0,0.0
478,1.0,1.0,1.0,1.0,0.0,0.0
479,1.0,1.0,1.0,0.61,0.0,0.0
480,1.0,1.0,0.0,0.0,0.0,0.0
481,0.12,0.0,0.0,0.0,0.0,0.0
482,1.0,0.0,0.0,0.0,0.0,0.0
483,1.0,0.0,0.0,0.0,0.0,0.0
484,1.0,1.0,0.0,0.0,0.0,0.0
485,1.0,0.0,0.0,0.0,0.0,0.0
487,1.0,1.0,1.0,1.0,0.75,0.0
488,1.0,0.64,0.0,0.0,0.0,0.0
489,1.0,1.0,1.0,0.0,0.0,0.0
490,1.0,1.0,1.0,1.0,0.0,0.0
491,1.0,0.26,0.0,0.0,0.0,1.0
492,1.0,0.0,0.0,0.0,0.0,0.0
493,1.0,1.0,0.0,0.0,0.0,0.0
494,1.0,1.0,1.0,1.0,0.0,0.0
495,1.0,1.0,0.0,0.0,0.0,0.0
496,1.0,1.0,1.0,0.0,0.0,0.0
497,0.88,0.0,0.0,0.0,0.0,0.0
498,1.0,0.0,1.0,1.0,0.0,0.0
499,1.0,1.0,1.0,0.0,0.0,0.0
500,1.0,1.0,1.0,0.0,0.0,0.0
501,1.0,0.0,0.0,0.0,0.0,0.0
502,1.0,1.0,1.0,1.0,1.0,0.0
503,1.0,1.0,1.0,0.0,0.0,0.0
504,1.0,1.0,1.0,1.0,0.0,0.0
505,1.0,1.0,1.0,0.0,0.0,0.0
506,1.0,1.0,1.0,0.0,0.0,0.0
508,1.0,1.0,0.75,0.0,0.0,0.0
509,1.0,0.0,0.0,0.0,0.0,0.0
510,1.0,1.0,0.0,0.0,0.0,0.0
511,1.0,1.0,1.0,0.0,0.0,0.0
512,1.0,0.0,0.0,0.0,0.0,0.0
