"PersonNumber","FirstName","LastName","GenderAsString","CantonAbbreviation","CouncilAbbreviation","PartyAbbreviation","DateJoining","DateLeaving"
403,"Hans","Hofmann","m","ZH","CE","UDC","2003-12-01T00:00:00","2007-12-02T00:00:00"
2198,"Louis","Grandpierre","m","NE","CN","PRD","1860-12-03T00:00:00","1866-12-02T00:00:00"
543,"Felix","Walker","m","SG","CN","PDC","2003-12-01T00:00:00","2006-12-03T00:00:00"
2552,"Philipp Gottlieb","Labhardt","m","TG","CN","Lib*","1848-11-06T00:00:00","1851-11-30T00:00:00"
2095,"Jonas","Furrer","m","ZH","CF","Lib*","1852-01-01T00:00:00","1852-12-31T00:00:00"
1742,"Emile","Cambessedès","m","GE","CE","PRD","1872-12-02T00:00:00","1875-12-05T00:00:00"
280,"Christiane","Langenberger","f","VD","CN","PRD","1995-12-04T00:00:00","1999-12-05T00:00:00"
1910,"Adolf K. W.","Deucher","m","TG","CN","Dém*","1879-12-01T00:00:00","1883-04-01T00:00:00"
1910,"Adolf K. W.","Deucher","m","TG","CN","Dém*","1879-12-01T00:00:00","1883-04-01T00:00:00"
3829,"Andy","Tschümperlin","m","SZ","CN","PSS","2007-12-03T00:00:00","2011-12-04T00:00:00"
532,"Philipp","Stähelin","m","TG","CE","PDC","2007-12-03T00:00:00","2011-12-04T00:00:00"
3370,"Ernst","Studer","m","BE","CN","PRD","1943-12-06T00:00:00","1963-12-01T00:00:00"
319,"Hans","Fehr","m","ZH","CN","UDC","2007-12-03T00:00:00","2011-12-04T00:00:00"
3490,"Jean","Vincent","m","GE","CN","PST","1947-12-01T00:00:00","1980-12-19T00:00:00"
3490,"Jean","Vincent","m","GE","CN","PST","1947-12-01T00:00:00","1980-12-19T00:00:00"
3490,"Jean","Vincent","m","GE","CN","PST","1947-12-01T00:00:00","1980-12-19T00:00:00"
3093,"Giovan-Battista","Rusca","m","TI","CN","PRD","1927-09-19T00:00:00","1931-12-06T00:00:00"
490,"Ruedi","Lustenberger","m","LU","CN","PDC","2007-12-03T00:00:00","2011-12-04T00:00:00"
3703,"Josef","Zingg","m","LU","CE","Lib*","1870-12-05T00:00:00","1871-07-01T00:00:00"
435,"Thérèse","Meyer-Kaelin","f","FR","CN","PDC","2007-12-03T00:00:00","2011-12-04T00:00:00"
1769,"Jean-Jacques","Challet-Venel","m","GE","CN","PRD","1857-12-07T00:00:00","1864-07-01T00:00:00"
163,"Gilles","Petitpierre","m","GE","CN","PRD","1979-11-26T00:00:00","1991-11-24T00:00:00"
2447,"Adolphe","Jordan","m","VD","CN","PRD","1896-12-07T00:00:00","1900-05-27T00:00:00"
1360,"Joseph","Ackermann","m","FR","CN","Cons*","1947-12-01T00:00:00","1951-12-02T00:00:00"
1858,"Max F.","de Diesbach de Torny","m","FR","CN","Cons*","1907-04-02T00:00:00","1916-03-08T00:00:00"
2527,"Alois","Kopp","m","LU","CN","Cons*","1851-12-01T00:00:00","1859-11-01T00:00:00"
233,"Hugo","Wick","m","BS","CN","PDC","1991-11-25T00:00:00","1995-12-03T00:00:00"
3567,"Jules-J.-F.-M.","Vuy","m","GE","CN","PRD","1863-12-07T00:00:00","1866-12-02T00:00:00"
3175,"Rudolf","Schmid","m","BE","CN","PRD","1857-12-07T00:00:00","1863-12-06T00:00:00"
2771,"Franz","Muheim","m","UR","CE","Cons*","1912-06-03T00:00:00","1928-12-02T00:00:00"
3270,"Antonio","Soldini","m","TI","CN","PRD","1902-12-01T00:00:00","1905-12-03T00:00:00"
2436,"Xavier J. J. B.","Jobin","m","BE","CN","Cons*","1922-12-04T00:00:00","1931-12-06T00:00:00"
2919,"François","Peyrot","m","GE","CN","PLS","1971-11-29T00:00:00","1975-11-30T00:00:00"
1953,"Franz Jos. Nikl. Val.","Durrer","m","NW","CN","Cons*","1851-12-01T00:00:00","1854-12-03T00:00:00"
2817,"Jean-Marie","Musy","m","FR","CF","Cons*","1919-12-11T00:00:00","1934-04-30T00:00:00"
34,"Gerold","Bührer","m","SH","CN","PRD","2003-12-01T00:00:00","2007-12-02T00:00:00"
824,"Pierre","Salvi","m","VD","CN","PSS","2003-12-01T00:00:00","2007-06-03T00:00:00"
3558,"Friedrich K. G.","von Werdt","m","BE","CN","PRD","1872-12-02T00:00:00","1881-12-04T00:00:00"
1762,"Enrico","Celio","m","TI","CN","Cons*","1924-12-01T00:00:00","1925-05-31T00:00:00"
37,"Rolf","Büttiker","m","SO","CE","PRD","2003-12-01T00:00:00","2007-12-02T00:00:00"
376,"Renzo","Respini","m","TI","CE","PDC","1995-12-04T00:00:00","1999-12-05T00:00:00"
303,"Käthi","Bangerter","f","BE","CN","PRD","1995-12-04T00:00:00","2003-11-30T00:00:00"
3461,"Johann","Uhr","m","ZG","CE","Cons*","1850-11-04T00:00:00","1853-06-01T00:00:00"
1371,"Arnold Otto","Aepli","m","SG","CE","Lib*","1850-07-01T00:00:00","1851-06-01T00:00:00"
2055,"J.-P.-Théodore","Fontana","m","GE","CN","Cons*","1902-12-01T00:00:00","1907-03-14T00:00:00"
73,"Pierre","Etique","m","JU","CN","PRD","1983-11-28T00:00:00","1993-11-20T00:00:00"
418,"Gilbert","Debons","m","VS","CN","PDC","1998-09-21T00:00:00","1999-12-05T00:00:00"
1337,"Ida","Glanzmann-Hunkeler","f","LU","CN","PDC","2007-12-03T00:00:00","2011-12-04T00:00:00"
1279,"Roger","Nordmann","m","VD","CN","PSS","2004-11-30T00:00:00","2007-12-02T00:00:00"
3478,"D. Frédéric","Verdan","m","NE","CE","PRD","1854-07-03T00:00:00","1855-07-01T00:00:00"
1071,"Ruth","Humbel","f","AG","CN","PDC","2003-12-01T00:00:00","2007-12-02T00:00:00"
1697,"Rolf Theodor","Bühler","m","SG","CN","PRD","1941-03-25T00:00:00","1943-12-05T00:00:00"
2411,"August","Jäggi","m","SO","CN","Cons*","1923-10-01T00:00:00","1943-12-05T00:00:00"
277,"Peter","Bieri","m","ZG","CE","PDC","1995-01-23T00:00:00","2003-11-30T00:00:00"
1935,"Alphonse","Dubuis","m","VD","CN","PRD","1902-12-01T00:00:00","1913-01-01T00:00:00"
3303,"Johann Michael","Stählin","m","SZ","CE","Cons*","1867-07-01T00:00:00","1872-12-01T00:00:00"
3683,"Walter","Zelger","m","NW","CE","Cons*","1861-07-01T00:00:00","1868-07-01T00:00:00"
2027,"Joh. Jakob","Fehr","m","ZH","CN","Dém*","1866-12-03T00:00:00","1875-01-01T00:00:00"
3081,"Louis-A.-J.","Ruchonnet","m","VD","CF","PRD","1881-03-03T00:00:00","1893-09-14T00:00:00"
3483,"Ludwig Anton","Vieli","m","GR","CE","Cons*","1856-07-07T00:00:00","1857-06-01T00:00:00"
309,"Franco","Cavalli","m","TI","CN","PSS","1995-12-04T00:00:00","2003-11-30T00:00:00"
309,"Franco","Cavalli","m","TI","CN","PSS","1995-12-04T00:00:00","2003-11-30T00:00:00"
309,"Franco","Cavalli","m","TI","CN","PSS","1995-12-04T00:00:00","2003-11-30T00:00:00"
3529,"Hans sen.","von Matt","m","NW","CN","Cons*","1890-06-02T00:00:00","1896-12-06T00:00:00"
1118,"Otto","Ineichen","m","LU","CN","PRD","2007-12-03T00:00:00","2011-12-04T00:00:00"
2377,"Jules","Humbert-Droz","m","ZH","CN","PC","1938-04-29T00:00:00","1939-12-03T00:00:00"
2149,"Fritz","Giovanoli","m","BE","CN","PSS","1938-09-20T00:00:00","1939-12-03T00:00:00"
185,"Albrecht","Rychen","m","BE","CN","UDC","1987-11-30T00:00:00","1995-12-03T00:00:00"
1267,"Hans","Stöckli","m","BE","CN","PSS","2004-09-20T00:00:00","2007-12-02T00:00:00"
3109,"Carl Georg Jakob","Sailer","m","SG","CN","PRD","1860-12-03T00:00:00","1870-10-03T00:00:00"
2347,"Fridolin","Holdener","m","SZ","CN","Cons*","1872-12-02T00:00:00","1896-12-06T00:00:00"
111,"Peter","Hess","m","ZG","CN","PDC","1995-12-04T00:00:00","2003-11-30T00:00:00"
111,"Peter","Hess","m","ZG","CN","PDC","1995-12-04T00:00:00","2003-11-30T00:00:00"
2916,"Auguste H.","Pettavel","m","NE","CE","PRD","1908-06-01T00:00:00","1921-04-01T00:00:00"
2916,"Auguste H.","Pettavel","m","NE","CE","PRD","1908-06-01T00:00:00","1921-04-01T00:00:00"
2916,"Auguste H.","Pettavel","m","NE","CE","PRD","1908-06-01T00:00:00","1921-04-01T00:00:00"
3546,"Johann Andreas","von Sprecher","m","GR","CN","Lib*","1857-12-07T00:00:00","1860-12-02T00:00:00"
735,"Hermann","Fehr","m","BE","CN","PSS","1983-11-28T00:00:00","1990-05-31T00:00:00"
226,"Karl","Tschuppert","m","LU","CN","PRD","1983-11-28T00:00:00","1995-12-03T00:00:00"
277,"Peter","Bieri","m","ZG","CE","PDC","2007-03-05T00:00:00","2011-12-04T00:00:00"
1632,"Robert","Bratschi","m","BE","CN","PSS","1922-12-04T00:00:00","1967-12-03T00:00:00"
1632,"Robert","Bratschi","m","BE","CN","PSS","1922-12-04T00:00:00","1967-12-03T00:00:00"
1632,"Robert","Bratschi","m","BE","CN","PSS","1922-12-04T00:00:00","1967-12-03T00:00:00"
504,"Stéphane","Rossini","m","VS","CN","PSS","2003-12-01T00:00:00","2007-12-02T00:00:00"
3623,"Otto M.","Wenger","m","BE","CN","PRD","1963-12-02T00:00:00","1971-11-28T00:00:00"
605,"Hans","Schärli","m","LU","CN","PDC","1975-12-01T00:00:00","1987-11-29T00:00:00"
1691,"Josef","Bühler","m","LU","CN","Lib*","1873-01-01T00:00:00","1873-04-14T00:00:00"
3481,"Natale","Vicari","m","TI","CE","PRD","1858-07-05T00:00:00","1860-04-01T00:00:00"
536,"Jean","Studer","m","NE","CE","PSS","1999-12-06T00:00:00","2003-11-30T00:00:00"
1743,"Philippe","Camperio","m","GE","CE","PRD","1850-07-01T00:00:00","1851-10-01T00:00:00"
3232,"Samuel D.","Schwarz","m","AG","CN","Lib*","1851-12-01T00:00:00","1852-06-01T00:00:00"
2060,"Johann Ludwig","Forrer","m","ZH","CF","Dém*","1905-01-01T00:00:00","1905-12-31T00:00:00"
245,"Otto","Zwygart","m","BE","CN","PEV","1995-12-04T00:00:00","2000-09-18T00:00:00"
245,"Otto","Zwygart","m","BE","CN","PEV","1995-12-04T00:00:00","2000-09-18T00:00:00"
2519,"Karl Aug.","Koller","m","ZH","CN","PRD","1907-09-16T00:00:00","1919-11-01T00:00:00"
817,"Adrian","Imfeld","m","OW","CN","PDC","2001-11-16T00:00:00","2003-11-30T00:00:00"
2413,"Ernst","Jakob","m","BE","CN","PSS","1919-12-01T00:00:00","1922-01-01T00:00:00"
1198,"Simon","Frick","m","SG","CN",,"1963-12-02T00:00:00","1967-12-03T00:00:00"
76,"Hugo","Fasel","m","FR","CN","PCS","1991-11-25T00:00:00","1995-12-03T00:00:00"
2811,"Hieronymus","Murbach","m","SH","CE","Lib*","1850-07-01T00:00:00","1852-06-01T00:00:00"
2209,"Daniel-Salomon","Grivaz","m","VD","CN","PRD","1848-11-06T00:00:00","1851-11-30T00:00:00"
2994,"Werner","Reich","m","ZH","CN","N","1971-11-29T00:00:00","1975-11-30T00:00:00"
2267,"Franz Josef","Hänggi","m","SO","CN","Cons*","1899-09-25T00:00:00","1908-01-20T00:00:00"
3609,"Josef","Weibel","m","LU","CN","PSS","1922-12-04T00:00:00","1935-12-01T00:00:00"
47,"Bernard","Comby","m","VS","CN","PRD","1995-12-04T00:00:00","1999-12-05T00:00:00"
370,"Erika","Forster","f","SG","CE","PRD","1995-12-04T00:00:00","2003-11-30T00:00:00"
476,"Urs","Hofmann","m","AG","CN","PSS","2007-12-03T00:00:00","2009-02-28T00:00:00"
767,"Guy-Olivier","Segond","m","GE","CN","PRD","1987-11-30T00:00:00","1990-11-25T00:00:00"
2500,"Wilhelm","Klein","m","BS","CE","PRD","1881-06-06T00:00:00","1881-10-01T00:00:00"
1123,"Pierre-François","Veillon","m","VD","CN","UDC","2003-12-01T00:00:00","2007-12-02T00:00:00"
1109,"Gerhard","Pfister","m","ZG","CN","PDC","2007-12-03T00:00:00","2011-12-04T00:00:00"
2147,"Johann Ulrich","Gfeller","m","BE","CN","PRD","1851-12-01T00:00:00","1866-12-02T00:00:00"
1963,"Matthias","Eggenberger","m","SG","CE","PSS","1971-12-01T00:00:00","1975-10-07T00:00:00"
2943,"Théodore-Ami","Piguet","m","GE","CE","Ind. (GE)*","1854-12-04T00:00:00","1855-07-25T00:00:00"
194,"Fritz","Schiesser","m","GL","CE","PRD","2003-12-01T00:00:00","2007-12-02T00:00:00"
