,46,47,48,49,50,51
61,0.0,0.0,1.0,1.0,0.0,0.0
316,0.0,0.0,1.0,1.0,0.0,0.0
341,0.0,0.0,1.0,1.0,1.0,0.0
471,0.0,0.0,1.0,1.0,0.0,0.0
477,0.0,0.0,1.0,1.0,1.0,0.0
1116,0.0,0.0,0.5,0.0,0.0,0.0
1134,0.0,0.0,1.0,1.0,0.0,0.0
1148,0.0,0.0,1.0,1.0,1.0,0.0
3914,0.0,0.0,1.0,1.0,1.0,0.0
3915,0.0,0.0,1.0,1.0,1.0,0.0
3916,0.0,0.0,1.0,1.0,1.0,0.0
3917,0.0,0.0,1.0,1.0,0.0,0.0
3918,0.0,0.0,1.0,1.0,1.0,0.0
3919,0.0,0.0,1.0,1.0,0.0,0.0
3920,0.0,0.0,1.0,1.0,1.0,0.0
3921,0.0,0.0,1.0,1.0,1.0,0.0
3939,0.0,0.0,0.94,0.49,0.0,0.0
305,0.0,0.0,0.56,1.0,1.0,0.0
525,0.0,0.0,0.44,1.0,1.0,1.0
4026,0.0,0.0,0.44,1.0,1.0,0.0
4033,0.0,0.0,0.38,1.0,0.0,0.0
1135,0.0,0.0,0.12,0.0,0.0,0.0
172,0.0,0.0,0.0,1.0,1.0,0.85
321,0.0,0.0,0.0,1.0,1.0,0.0
361,0.0,0.0,0.0,1.0,0.0,0.0
801,0.0,0.0,0.0,1.0,1.0,0.0
823,0.0,0.0,0.0,1.0,1.0,0.0
1106,0.0,0.0,0.0,1.0,1.0,1.0
1267,0.0,0.0,0.0,1.0,1.0,1.0
3871,0.0,0.0,0.0,1.0,1.0,1.0
4055,0.0,0.0,0.0,1.0,1.0,1.0
4062,0.0,0.0,0.0,1.0,0.81,0.0
4064,0.0,0.0,0.0,1.0,1.0,0.0
4068,0.0,0.0,0.0,1.0,1.0,0.0
4078,0.0,0.0,0.0,1.0,1.0,1.0
4088,0.0,0.0,0.0,1.0,1.0,0.0
4112,0.0,0.0,0.0,1.0,1.0,1.0
1150,0.0,0.0,0.0,0.87,1.0,0.53
4139,0.0,0.0,0.0,0.45,1.0,1.0
4145,0.0,0.0,0.0,0.38,1.0,0.0
1141,0.0,0.0,0.0,0.0,1.0,0.0
1153,0.0,0.0,0.0,0.0,1.0,1.0
3879,0.0,0.0,0.0,0.0,1.0,1.0
3891,0.0,0.0,0.0,0.0,1.0,1.0
4075,0.0,0.0,0.0,0.0,1.0,1.0
4151,0.0,0.0,0.0,0.0,1.0,1.0
4152,0.0,0.0,0.0,0.0,1.0,1.0
4153,0.0,0.0,0.0,0.0,1.0,1.0
4204,0.0,0.0,0.0,0.0,1.0,1.0
4205,0.0,0.0,0.0,0.0,1.0,0.0
4206,0.0,0.0,0.0,0.0,1.0,1.0
4207,0.0,0.0,0.0,0.0,1.0,1.0
4056,0.0,0.0,0.0,0.0,0.12,1.0
4237,0.0,0.0,0.0,0.0,0.12,1.0
806,0.0,0.0,0.0,0.0,0.0,1.0
1120,0.0,0.0,0.0,0.0,0.0,1.0
3830,0.0,0.0,0.0,0.0,0.0,0.92
3907,0.0,0.0,0.0,0.0,0.0,1.0
4114,0.0,0.0,0.0,0.0,0.0,1.0
4159,0.0,0.0,0.0,0.0,0.0,1.0
4172,0.0,0.0,0.0,0.0,0.0,1.0
4181,0.0,0.0,0.0,0.0,0.0,1.0
4186,0.0,0.0,0.0,0.0,0.0,1.0
4187,0.0,0.0,0.0,0.0,0.0,1.0
4189,0.0,0.0,0.0,0.0,0.0,1.0
4238,0.0,0.0,0.0,0.0,0.0,0.79
4239,0.0,0.0,0.0,0.0,0.0,1.0
4240,0.0,0.0,0.0,0.0,0.0,1.0
4241,0.0,0.0,0.0,0.0,0.0,1.0
4242,0.0,0.0,0.0,0.0,0.0,1.0
4243,0.0,0.0,0.0,0.0,0.0,1.0
4244,0.0,0.0,0.0,0.0,0.0,1.0
4303,0.0,0.0,0.0,0.0,0.0,1.0
4306,0.0,0.0,0.0,0.0,0.0,1.0
4309,0.0,0.0,0.0,0.0,0.0,1.0
4316,0.0,0.0,0.0,0.0,0.0,1.0
4325,0.0,0.0,0.0,0.0,0.0,0.47
4332,0.0,0.0,0.0,0.0,0.0,0.21
4261,0.0,0.0,0.0,0.0,0.0,0.06
