,topic_idx,topic_score,manual_check,topic_words,transcript_words
3106,0,0.063,1,santé - assurance - coût - soin - prime - maladie - patient - médicament - système - pandémie,"['modification', 'club', 'restriction', 'opposition', 'levée', 'manifestation', 'ligue', 'abrogation', 'culture', 'certificat']"
3255,0,0.103,1,santé - assurance - coût - soin - prime - maladie - patient - médicament - système - pandémie,"['lit', 'nombre', 'philosophie', 'vieillissement', 'marche', 'épisode', 'crise', 'avenir', 'affaire', 'augmentation']"
3265,20,0.187,1,invalidité - analyse - assurance - chose - application - phase - temps - évaluation - base - élément,"['invalidité', 'montant', 'assurance', 'coût', 'autodétermination', 'prestation', 'frais', 'tiers', 'moyen', 'remplacement']"
3292,1,0.127,1,transparence - vote - divergence - surveillance - travail - point - information - négociation - membre - manière,"['pendillard', 'intrant', 'expert', 'diminution', 'efficacité', 'aspect', 'consultation', 'évolution', 'soutien', 'conseiller']"
3326,8,0.116,2,armée - guerre - service - matériel - arme - exportation - avion - civil - armement - défense,"['juriste', 'circonstance', 'victime', 'concept', 'guerre', 'critère', 'lettre', 'viole', 'intérêt', 'interprétation']"
3431,2,0.137,1,procédure - peine - code - juge - infraction - locataire - tribunal - justice - acte - crime,"['procès', 'procédure', 'entreprise', 'inconnue', 'institution', 'primauté', 'large', 'règle', 'société', 'manière']"
3457,20,0.168,1,invalidité - analyse - assurance - chose - application - phase - temps - évaluation - base - élément,"['analyse', 'aidant', 'bénéfice', 'vigueur', 'prise', 'action', 'chose', 'plan', 'coût', 'défi']"
3574,2,0.138,0,procédure - peine - code - juge - infraction - locataire - tribunal - justice - acte - crime,"['voyage', 'député', 'train', 'durée', 'heure', 'employé', 'avion', 'vol', 'hôtel', 'nuit']"
3604,0,0.094,1,santé - assurance - coût - soin - prime - maladie - patient - médicament - système - pandémie,"['tremblement', 'dégât', 'terre', 'assurance', 'séisme', 'couverture', 'dommage', 'somme', 'hauteur', 'établissement']"
3939,5,0.253,1,animal - agriculture - production - vin - sucre - agriculteur - produit - exploitation - élevage - viande,"['agroforesterie', 'suivi', 'évaluation', 'biodiversité', 'séquestration', 'végétation', 'fertilité', 'étude', 'parcelle', 'échantillon']"
3948,10,1,2,sanction - développement - coopération - neutralité - objectif - délégation - embargo - stratégie - oeuvre - aide,"['outil', 'pertinence', 'système', 'mélancolie', 'document', 'chant', 'contraction', 'acronyme', 'escient', 'cause']"
3977,13,0.05,1,rente - retraite - pilier - réforme - femme - compensation - âge - prévoyance - taux - prestation,"['rente', 'supplément', 'salaire', 'conversion', 'baisse', 'solution', 'partenaire', 'taux', 'branche', 'solidarité']"
